cw0_bler,cw0_cb_bler,cw0_cb_errors,cw0_cb_trials,cw0_n_cbs,cw0_successful_payload_bits,cw0_tb_size,cw0_throughput_bits_per_slot,cw1_bler,cw1_cb_bler,cw1_cb_errors,cw1_cb_trials,cw1_n_cbs,cw1_successful_payload_bits,cw1_tb_size,cw1_throughput_bits_per_slot,goodput_bits_per_slot,goodput_se_layer_re,goodput_se_tf,meta_bandwidth_mhz,meta_baseline_1,meta_baseline_2,meta_cb_e_values,meta_channel,meta_csi_error_case,meta_detector_baseline,meta_full_grid_bytes_per_trial,meta_list_size,meta_mapping,meta_memory_policy,meta_modulation,meta_n_prbs,meta_n_re_sampled,meta_payload_k_per_cb,meta_phase,meta_precoder,meta_qm,meta_rank,meta_receiver_csi,meta_retained_channel_bytes_per_trial,meta_rx_nmse_db,meta_sc_mimo_layer_groups,meta_sc_mimo_receiver,meta_scs_khz,meta_speed_kmh,meta_tb_size,meta_tx_nmse_db,scheme,scheme_bler,scheme_cb_bler,snr_db,total_throughput_bits_per_slot,trials
1.0,1.0,20,20,2,0.0,48,0.0,,,,,,,,,0.0,0.0,0.0,20.0,nr_1cw_scheme1_rank2,"baseline_2cw_scheme4_rank2_layers_((0,), (1,))","[96, 96]",CDL-A 30ns,txrx_nmse_-15dB,kbest_rml,16932864,16,nr_1cw,"stream full CDL grid per trial, sample data REs, add NMSE only on sampled H",QPSK,106,48,24,3_csi_error_fixed_qpsk_bler,per_re_svd_on_tx_estimated_channel,2,2,rx_estimated_effective_channel,294912,-15dB,"((0,), (1,))",hybrid_rml_mmse_after_sic,15,3.0,48,-15dB,nr_1cw,1.0,1.0,-24.0,0.0,10
1.0,1.0,20,20,2,0.0,48,0.0,,,,,,,,,0.0,0.0,0.0,20.0,nr_1cw_scheme1_rank2,"baseline_2cw_scheme4_rank2_layers_((0,), (1,))","[96, 96]",CDL-A 30ns,txrx_nmse_-15dB,kbest_rml,16932864,16,sc_mimo_sic,"stream full CDL grid per trial, sample data REs, add NMSE only on sampled H",QPSK,106,48,24,3_csi_error_fixed_qpsk_bler,per_re_svd_on_tx_estimated_channel,2,2,rx_estimated_effective_channel,294912,-15dB,"((0,), (1,))",hybrid_rml_mmse_after_sic,15,3.0,48,-15dB,sc_mimo_sic,1.0,1.0,-24.0,0.0,10
1.0,1.0,10,10,1,0.0,24,0.0,1.0,1.0,10,10,1,0.0,24,0.0,0.0,0.0,0.0,20.0,nr_1cw_scheme1_rank2,"baseline_2cw_scheme4_rank2_layers_((0,), (1,))","[96, 96]",CDL-A 30ns,txrx_nmse_-15dB,kbest_rml,16932864,16,baseline_2cw_scheme4,"stream full CDL grid per trial, sample data REs, add NMSE only on sampled H",QPSK,106,48,24,3_csi_error_fixed_qpsk_bler,per_re_svd_on_tx_estimated_channel,2,2,rx_estimated_effective_channel,294912,-15dB,"((0,), (1,))",hybrid_rml_mmse_after_sic,15,3.0,48,-15dB,baseline_2cw,1.0,1.0,-24.0,0.0,10
1.0,0.95,19,20,2,24.0,48,2.4,,,,,,,,,2.4,0.024999999999999998,0.049999999999999996,20.0,nr_1cw_scheme1_rank2,"baseline_2cw_scheme4_rank2_layers_((0,), (1,))","[96, 96]",CDL-A 30ns,txrx_nmse_-15dB,kbest_rml,16932864,16,nr_1cw,"stream full CDL grid per trial, sample data REs, add NMSE only on sampled H",QPSK,106,48,24,3_csi_error_fixed_qpsk_bler,per_re_svd_on_tx_estimated_channel,2,2,rx_estimated_effective_channel,294912,-15dB,"((0,), (1,))",hybrid_rml_mmse_after_sic,15,3.0,48,-15dB,nr_1cw,1.0,0.95,-20.0,2.4,10
1.0,0.95,19,20,2,24.0,48,2.4,,,,,,,,,2.4,0.024999999999999998,0.049999999999999996,20.0,nr_1cw_scheme1_rank2,"baseline_2cw_scheme4_rank2_layers_((0,), (1,))","[96, 96]",CDL-A 30ns,txrx_nmse_-15dB,kbest_rml,16932864,16,sc_mimo_sic,"stream full CDL grid per trial, sample data REs, add NMSE only on sampled H",QPSK,106,48,24,3_csi_error_fixed_qpsk_bler,per_re_svd_on_tx_estimated_channel,2,2,rx_estimated_effective_channel,294912,-15dB,"((0,), (1,))",hybrid_rml_mmse_after_sic,15,3.0,48,-15dB,sc_mimo_sic,1.0,0.95,-20.0,2.4,10
0.7,0.7,7,10,1,72.0,24,7.2,1.0,1.0,10,10,1,0.0,24,0.0,7.2,0.075,0.15,20.0,nr_1cw_scheme1_rank2,"baseline_2cw_scheme4_rank2_layers_((0,), (1,))","[96, 96]",CDL-A 30ns,txrx_nmse_-15dB,kbest_rml,16932864,16,baseline_2cw_scheme4,"stream full CDL grid per trial, sample data REs, add NMSE only on sampled H",QPSK,106,48,24,3_csi_error_fixed_qpsk_bler,per_re_svd_on_tx_estimated_channel,2,2,rx_estimated_effective_channel,294912,-15dB,"((0,), (1,))",hybrid_rml_mmse_after_sic,15,3.0,48,-15dB,baseline_2cw,1.0,0.85,-20.0,7.2,10
0.5,0.25,5,20,2,360.0,48,36.0,,,,,,,,,36.0,0.375,0.75,20.0,nr_1cw_scheme1_rank2,"baseline_2cw_scheme4_rank2_layers_((0,), (1,))","[96, 96]",CDL-A 30ns,txrx_nmse_-15dB,kbest_rml,16932864,16,nr_1cw,"stream full CDL grid per trial, sample data REs, add NMSE only on sampled H",QPSK,106,48,24,3_csi_error_fixed_qpsk_bler,per_re_svd_on_tx_estimated_channel,2,2,rx_estimated_effective_channel,294912,-15dB,"((0,), (1,))",hybrid_rml_mmse_after_sic,15,3.0,48,-15dB,nr_1cw,0.5,0.25,-16.0,36.0,10
0.4,0.2,4,20,2,384.0,48,38.4,,,,,,,,,38.4,0.39999999999999997,0.7999999999999999,20.0,nr_1cw_scheme1_rank2,"baseline_2cw_scheme4_rank2_layers_((0,), (1,))","[96, 96]",CDL-A 30ns,txrx_nmse_-15dB,kbest_rml,16932864,16,sc_mimo_sic,"stream full CDL grid per trial, sample data REs, add NMSE only on sampled H",QPSK,106,48,24,3_csi_error_fixed_qpsk_bler,per_re_svd_on_tx_estimated_channel,2,2,rx_estimated_effective_channel,294912,-15dB,"((0,), (1,))",hybrid_rml_mmse_after_sic,15,3.0,48,-15dB,sc_mimo_sic,0.4,0.2,-16.0,38.4,10
0.0,0.0,0,10,1,240.0,24,24.0,0.7,0.7,7,10,1,72.0,24,7.2,31.2,0.325,0.65,20.0,nr_1cw_scheme1_rank2,"baseline_2cw_scheme4_rank2_layers_((0,), (1,))","[96, 96]",CDL-A 30ns,txrx_nmse_-15dB,kbest_rml,16932864,16,baseline_2cw_scheme4,"stream full CDL grid per trial, sample data REs, add NMSE only on sampled H",QPSK,106,48,24,3_csi_error_fixed_qpsk_bler,per_re_svd_on_tx_estimated_channel,2,2,rx_estimated_effective_channel,294912,-15dB,"((0,), (1,))",hybrid_rml_mmse_after_sic,15,3.0,48,-15dB,baseline_2cw,0.7,0.35,-16.0,31.2,10
0.0,0.0,0,20,2,480.0,48,48.0,,,,,,,,,48.0,0.5,1.0,20.0,nr_1cw_scheme1_rank2,"baseline_2cw_scheme4_rank2_layers_((0,), (1,))","[96, 96]",CDL-A 30ns,txrx_nmse_-15dB,kbest_rml,16932864,16,nr_1cw,"stream full CDL grid per trial, sample data REs, add NMSE only on sampled H",QPSK,106,48,24,3_csi_error_fixed_qpsk_bler,per_re_svd_on_tx_estimated_channel,2,2,rx_estimated_effective_channel,294912,-15dB,"((0,), (1,))",hybrid_rml_mmse_after_sic,15,3.0,48,-15dB,nr_1cw,0.0,0.0,-12.0,48.0,10
